PWM,Corriente_ADC,Corriente_real(A)
195,137,0.416
210,144,0.441
210,144,0.441
210,144,0.441
210,144,0.441
210,144,0.441
210,143,0.441
210,143,0.441
210,143,0.441
210,144,0.441
210,144,0.441
210,143,0.441
210,143,0.441
210,143,0.441
210,143,0.441
210,143,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,143,0.441
210,143,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,141,0.441
210,141,0.441
210,141,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,141,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,141,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,141,0.441
210,141,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
210,142,0.441
225,145,0.471
225,145,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,145,0.471
225,145,0.471
225,145,0.471
225,145,0.471
225,145,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,145,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
225,144,0.471
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,41,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,41,0.094
30,41,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,40,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,40,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,42,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
30,41,0.094
